CRASH DATE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/14/23,40.69268,-73.93998,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Moped,Sedan,,,
4/14/23,40.683754,-73.88565,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,Motorbike,,,,
4/14/23,40.67312,-73.96072,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,Moped,,,,
4/14/23,40.64352,-74.07616,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unsafe Speed,,,,Sedan,Motorbike,,,
4/14/23,40.627155,-73.96563,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,Sedan,Motorcycle,,,
4/14/23,40.609695,-74.02479,0,1,0,0,0,0,0,1,Passing or Lane Usage Improper,Turning Improperly,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
4/15/23,40.8617,-73.89139,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Motorcycle,,,
4/15/23,40.854694,-73.89535,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Sedan,Moped,,,
4/15/23,40.85106,-73.88233,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Passenger Distraction,,,,Sedan,Motorcycle,,,
4/15/23,40.839718,-73.872314,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Motorcycle,,,
4/15/23,40.81642,-73.919014,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Moped,Sedan,,,
4/15/23,40.80655,-73.88632,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,Motorcycle,,,,
4/15/23,40.758625,-73.9677,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Taxi,Moped,,,
4/15/23,40.754684,-73.984245,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,Motorcycle,,,,
4/15/23,40.665726,-73.96425,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Moped,Station Wagon/Sport Utility Vehicle,,,
4/15/23,40.58001,-74.11398,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,Sedan,Motorscooter,,,
4/16/23,40.860577,-73.90255,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/16/23,40.75247,-73.99017,1,0,0,0,0,0,1,0,Following Too Closely,Reaction to Uninvolved Vehicle,,,,Sedan,Motorcycle,,,
4/16/23,40.74394,-73.77205,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,Motorcycle,Sedan,,,
4/16/23,40.74257,-73.954185,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/16/23,40.71164,-73.83591,1,0,0,0,0,0,1,0,Unspecified,,,,,Motorcycle,,,,
4/16/23,40.68415,-73.8848,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,Moped,,,,
4/16/23,40.677414,-73.93033,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,Moped,Sedan,,,
4/16/23,40.67169,-73.79121,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,Sedan,Motorcycle,Station Wagon/Sport Utility Vehicle,,
4/16/23,40.66895,-73.9339,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Moped,,,
4/16/23,40.650288,-73.9978,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
4/16/23,40.639706,-74.13909,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/17/23,40.8472,-73.89888,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Other Vehicular,,,,Sedan,Moped,,,
4/17/23,40.818558,-73.92732,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/17/23,40.75906,-73.97262,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,Motorcycle,Taxi,,,
4/17/23,40.747623,-73.89658,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,Motorcycle,Bike,,,
4/17/23,40.74147,-73.985435,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,,,,Bus,Moped,,,
4/17/23,40.629486,-74.022644,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
4/17/23,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Sedan,,,
4/18/23,40.84271,-73.885666,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Moped,,,
4/18/23,40.834515,-73.91771,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/18/23,40.82933,-73.861084,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/18/23,40.75197,-73.93181,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
4/18/23,40.748684,-73.873985,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Motorcycle,,,
4/18/23,40.742943,-73.91685,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Bike,Moped,,,
4/18/23,40.738155,-73.940605,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/18/23,40.695415,-73.90806,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Sedan,Moped,,,
4/18/23,40.67801,-73.94138,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,Motorcycle,,,,
4/18/23,40.663517,-73.957214,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Bike,Motorcycle,,,
4/18/23,40.638264,-74.021095,1,0,0,0,0,0,1,0,Passing Too Closely,Failure to Yield Right-of-Way,,,,Sedan,Motorcycle,,,
4/18/23,,,1,0,1,0,0,0,0,0,Unspecified,,,,,Moped,,,,
4/19/23,40.83576,-73.891396,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
4/19/23,40.83512,-73.94552,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
4/19/23,40.83027,-73.94393,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Sedan,Moped,,,
4/19/23,40.82034,-73.940025,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,Station Wagon/Sport Utility Vehicle,Motorscooter,,,
4/19/23,40.733128,-73.783035,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/19/23,40.661495,-73.939896,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Sedan,Motorcycle,,,
4/19/23,40.641468,-73.95938,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
4/19/23,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
4/19/23,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Bus,Motorcycle,,,
4/20/23,40.843174,-73.91196,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/20/23,40.834614,-73.825165,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,Station Wagon/Sport Utility Vehicle,MOPED,,,
4/20/23,40.829422,-73.897575,2,0,1,0,0,0,1,0,Unspecified,,,,,MOPED,,,,
4/20/23,40.79989,-73.93859,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,Motorcycle,Sedan,,,
4/20/23,40.729168,-73.95749,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorbike,Sedan,,,
4/20/23,40.713085,-73.94415,2,0,0,0,0,0,2,0,Other Vehicular,Driver Inattention/Distraction,,,,Sedan,Moped,,,
4/20/23,40.711533,-73.98063,2,0,1,0,0,0,1,0,View Obstructed/Limited,,,,,Motorcycle,,,,
4/20/23,40.704594,-73.90826,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Sedan,,,
4/20/23,40.68372,-73.78468,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Bus,Moped,,,
4/20/23,40.682537,-73.95002,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorscooter,Station Wagon/Sport Utility Vehicle,,,
4/20/23,40.672398,-73.99025,1,0,0,0,0,0,1,0,Physical Disability,,,,,Moped,,,,
4/20/23,40.67043,-73.928185,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,,,Station Wagon/Sport Utility Vehicle,Sedan,Motorscooter,,
4/20/23,40.654343,-73.864204,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
4/20/23,40.62168,-74.00808,0,0,0,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
4/20/23,0,0,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/21/23,40.845104,-73.91494,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,Motorcycle,Sedan,Taxi,,
4/21/23,40.844105,-73.898,1,0,0,0,0,0,1,0,Aggressive Driving/Road Rage,Unspecified,,,,Motorcycle,,,,
4/21/23,40.823547,-73.95539,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Moped,Sedan,,,
4/21/23,40.821285,-73.86371,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Motorcycle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
4/21/23,40.81578,-73.80352,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,Motorcycle,,,,
4/21/23,40.790054,-73.96587,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,Unspecified,,Sedan,Sedan,Motorcycle,Motorcycle,
4/21/23,40.74359,-73.92717,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorcycle,,,
4/21/23,40.716064,-73.939026,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
4/21/23,40.711323,-73.94725,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,Sedan,Motorcycle,,,
4/21/23,40.708965,-73.95673,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Motorcycle,,,,
4/21/23,40.693314,-73.92496,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Moped,,,
4/21/23,40.690907,-73.95542,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,,,,
4/21/23,40.687935,-73.9154,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Sedan,,,
4/21/23,40.68039,-73.94956,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/21/23,40.623863,-73.95117,2,0,1,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Lane Changing,Unsafe Lane Changing,,,Motorcycle,Sedan,Sedan,,
4/22/23,40.83406,-73.944885,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,Moped,,,,
4/22/23,40.822166,-73.94242,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Moped,Sedan,,,
4/22/23,40.81922,-73.91062,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Motorcycle,,,,
4/22/23,40.810764,-73.9526,1,0,0,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inexperience,,,,Taxi,MOPED,,,
4/22/23,40.748848,-73.872375,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/22/23,40.744347,-73.92891,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Sedan,Moped,,,
4/22/23,40.72214,-73.902275,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
4/22/23,40.71493,-73.7502,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,Motorcycle,Sedan,Station Wagon/Sport Utility Vehicle,,
4/22/23,40.711323,-73.94725,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Motorbike,,,
4/22/23,40.693645,-73.92936,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/22/23,40.659405,-73.9505,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,Sedan,Motorcycle,Sedan,Sedan,
4/22/23,40.610504,-73.95767,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,Station Wagon/Sport Utility Vehicle,MOPED,,,
4/23/23,40.84128,-73.91366,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Sedan,Moped,,,
4/23/23,40.83677,-73.88597,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,Motorscooter,Sedan,,,
4/23/23,40.76323,-73.90891,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Motorcycle,Sedan,,,
4/23/23,40.751408,-73.88461,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,moped,,,
4/23/23,40.74657,-73.89419,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,Moped,Sedan,,,
4/23/23,40.729607,-73.82489,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
4/23/23,40.703873,-73.966774,2,0,0,0,0,0,2,0,Unsafe Speed,,,,,Motorscooter,,,,
4/23/23,40.66855,-73.990234,1,0,0,0,0,0,1,0,Turning Improperly,Driver Inattention/Distraction,,,,Sedan,Moped,,,
4/23/23,40.64043,-73.96618,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorscooter,Bike,,,
4/23/23,40.62506,-74.13582,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4 dr sedan,Motorcycle,,,
4/23/23,40.61393,-73.96312,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
4/24/23,40.837875,-73.91971,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,Moped,,,,
4/24/23,40.82855,-73.85963,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/24/23,40.820187,-73.890686,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Sedan,MOPED,,,
4/24/23,40.76749,-73.92067,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Motorcycle,,,,
4/24/23,40.765392,-73.9182,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/24/23,40.75667,-73.828804,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/24/23,40.692757,-73.76523,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/24/23,40.66767,-73.92845,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorbike,,,
4/24/23,40.653522,-73.91015,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorscooter,,,
4/24/23,40.649254,-73.960846,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Moped,,,,
4/24/23,40.614136,-73.94836,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,Motorcycle,Station Wagon/Sport Utility Vehicle,Sedan,,
4/24/23,40.577354,-73.95472,0,0,0,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
4/25/23,40.85713,-73.8808,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,Motorcycle,,,,
4/25/23,40.807552,-73.91922,3,0,0,0,0,0,3,0,Turning Improperly,Unspecified,,,,Motorscooter,Sedan,,,
4/25/23,40.763733,-73.962074,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
4/25/23,40.75043,-73.93533,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Turning Improperly,,,,Motorcycle,Sedan,,,
4/25/23,40.7056,-73.937584,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Motorcycle,,,,
4/25/23,40.696117,-73.970436,2,0,0,0,1,0,1,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,Motorcycle,Bike,,,
4/25/23,40.685047,-73.954254,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
4/25/23,40.59589,-74.085884,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Motorcycle,,,
4/25/23,40.570835,-74.16983,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/26/23,40.84036,-73.91807,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,Station Wagon/Sport Utility Vehicle,Motorscooter,,,
4/26/23,40.839767,-73.905396,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,Pick-up Truck,Motorbike,,,
4/26/23,40.831875,-73.86636,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorscooter,,,
4/26/23,40.81655,-73.91955,1,0,0,0,0,0,1,0,Driver Inexperience,Following Too Closely,,,,Moped,Sedan,,,
4/26/23,40.810387,-73.91521,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
4/26/23,40.804695,-73.92239,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,,,,
4/26/23,40.75533,-73.99119,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,Moped,Bike,,,
4/26/23,40.750717,-73.85877,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Motorcycle,Box Truck,,,
4/26/23,40.7394,-73.94447,2,0,0,0,0,0,2,0,Unspecified,,,,,Motorcycle,,,,
4/26/23,40.680595,-73.980896,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Moped,,,
4/26/23,40.666138,-73.82422,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/26/23,40.650387,-73.75712,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Taxi,Motorcycle,,,
4/26/23,40.586536,-73.93926,2,0,0,0,0,0,2,0,Driver Inexperience,Unsafe Speed,,,,Taxi,Motorcycle,,,
4/27/23,40.84737,-73.83187,1,0,0,0,0,0,1,0,Unspecified,,,,,Moped,,,,
4/27/23,40.840286,-73.92147,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unsafe Speed,,,,Taxi,Motorcycle,,,
4/27/23,40.71376,-73.9793,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,Moped,Sedan,,,
4/27/23,40.701897,-73.894966,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,Convertible,MOPED,,,
4/27/23,40.70152,-73.94323,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,Sedan,Motorcycle,,,
4/27/23,40.6828,-73.90638,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Motorcycle,Sedan,,,
4/27/23,40.68206,-73.9676,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
4/28/23,40.809776,-73.92241,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorcycle,,,
4/28/23,40.726746,-73.887215,2,0,0,0,0,0,2,0,View Obstructed/Limited,Pavement Slippery,,,,Sedan,Moped,,,
4/28/23,40.71999,-73.943214,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,Motorcycle,Sedan,,,
4/28/23,40.69305,-73.85384,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/28/23,40.683266,-73.992805,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
4/28/23,40.679787,-73.93844,1,0,0,0,0,0,1,0,Turning Improperly,Driver Inattention/Distraction,,,,Sedan,Moped,,,
4/28/23,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Moped,Bus,,,
4/28/23,,,1,0,0,0,0,0,1,0,Following Too Closely,,,,,Motorcycle,,,,
4/28/23,,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,Motorcycle,,,,
4/28/23,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/29/23,40.764427,-73.97748,1,0,1,0,0,0,0,0,Unspecified,,,,,Motorbike,,,,
4/29/23,40.763588,-73.83603,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/29/23,40.729603,-73.89784,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unspecified,,,,Convertible,Motorscooter,,,
4/29/23,40.721886,-73.977356,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
4/29/23,40.715794,-73.99057,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,Motorscooter,,,,
4/29/23,40.695995,-73.96742,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,Sedan,Motorcycle,,,
4/30/23,40.86357,-73.92602,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,Motorcycle,,,,
4/30/23,40.71999,-73.943214,0,0,0,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
4/30/23,40.666134,-73.99224,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
4/30/23,40.578506,-73.93455,1,0,0,0,0,0,1,0,Unspecified,,,,,Motorcycle,,,,
5/1/23,40.799145,-73.972534,2,0,0,0,0,0,2,0,Turning Improperly,Unsafe Speed,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
5/1/23,40.79465,-73.97179,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,Motorcycle,Sedan,,,
5/1/23,40.759197,-73.98463,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Motorscooter,Sedan,,,
5/1/23,40.7216,-73.912994,1,0,0,0,0,0,1,0,Unspecified,,,,,Moped,,,,
5/1/23,40.700775,-73.91334,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Moped,,,
5/1/23,,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,Unspecified,,,Moped,Sedan,Sedan,,
5/2/23,40.859146,-73.89115,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,Sedan,Moped,,,
5/2/23,40.837425,-73.92037,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,Sedan,Motorscooter,,,
5/2/23,40.82719,-73.887,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Moped,Sedan,,,
5/2/23,40.76197,-73.92539,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Motorcycle,Sedan,,,
5/3/23,40.86769,-73.92122,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
5/3/23,40.862736,-73.841774,1,0,0,0,0,0,1,0,Unsafe Speed,Failure to Yield Right-of-Way,,,,Motorscooter,Sedan,,,
5/3/23,40.83196,-73.899086,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Moped,,,,
5/3/23,40.809776,-73.92241,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Motorcycle,,,
5/3/23,40.753857,-73.91764,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Taxi,Motorcycle,,,
5/3/23,40.747746,-73.94062,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
5/3/23,40.6952,-73.92844,1,0,0,0,0,0,1,0,View Obstructed/Limited,Reaction to Uninvolved Vehicle,View Obstructed/Limited,Unspecified,,Sedan,Moped,Moped,Sedan,
5/3/23,40.61811,-73.959114,1,0,0,0,0,0,1,0,Unsafe Speed,Driver Inattention/Distraction,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
5/3/23,40.582073,-73.96295,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
5/3/23,,,1,0,1,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
5/4/23,40.850807,-73.86781,1,0,0,0,0,0,1,0,View Obstructed/Limited,View Obstructed/Limited,,,,Sedan,Motorcycle,,,
5/4/23,40.846542,-73.88561,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
5/4/23,40.841618,-73.912476,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,Sedan,Motorcycle,,,
5/4/23,40.812073,-73.93604,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
